Trailer_num, Trailer_type,Arrival_time,Deadline, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
NA, NA, min,min, Loadtime, 3.0, 3.0, 3.0, 3.0, 3.0
IT1, Inbound trailer,593.0,NA, Supply, 10, 0, 7, 0, 0
IT2, Inbound trailer,725.0,NA, Supply, 0, 0, 18, 6, 0
IT3, Inbound trailer,575.0,NA, Supply, 10, 16, 0, 9, 9
IT4, Inbound trailer,495.0,NA, Supply, 16, 0, 13, 12, 0
IT5, Inbound trailer,746.0,NA, Supply, 8, 18, 0, 0, 19
IT6, Inbound trailer,791.0,NA, Supply, 0, 12, 0, 0, 0
IT7, Inbound trailer,300.0,NA, Supply, 0, 0, 20, 11, 0
IT8, Inbound trailer,374.0,NA, Supply, 18, 13, 0, 0, 0
IT9, Inbound trailer,335.0,NA, Supply, 0, 5, 0, 0, 10
IT10, Inbound trailer,585.0,NA, Supply, 10, 0, 0, 8, 18
IT11, Inbound trailer,637.0,NA, Supply, 5, 0, 0, 0, 13
IT12, Inbound trailer,158.0,NA, Supply, 10, 0, 0, 0, 13
IT13, Inbound trailer,200.0,NA, Supply, 0, 0, 7, 15, 0
IT14, Inbound trailer,868.0,NA, Supply, 12, 0, 0, 0, 0
IT15, Inbound trailer,635.0,NA, Supply, 0, 0, 18, 0, 11
IT16, Inbound trailer,234.0,NA, Supply, 18, 12, 15, 11, 0
IT17, Inbound trailer,357.0,NA, Supply, 15, 0, 10, 0, 11
IT18, Inbound trailer,639.0,NA, Supply, 0, 19, 11, 0, 7
IT19, Inbound trailer,192.0,NA, Supply, 7, 0, 6, 0, 0
IT20, Inbound trailer,782.0,NA, Supply, 20, 10, 0, 0, 7
IT21, Inbound trailer,863.0,NA, Supply, 0, 17, 16, 13, 0
IT22, Inbound trailer,874.0,NA, Supply, 0, 18, 12, 0, 0
IT23, Inbound trailer,859.0,NA, Supply, 0, 10, 13, 0, 15
IT24, Inbound trailer,742.0,NA, Supply, 12, 0, 0, 19, 0
IT25, Inbound trailer,766.0,NA, Supply, 0, 0, 0, 0, 14
IT26, Inbound trailer,176.0,NA, Supply, 15, 0, 15, 0, 15
IT27, Inbound trailer,221.0,NA, Supply, 8, 8, 8, 0, 12
IT28, Inbound trailer,386.0,NA, Supply, 0, 9, 18, 18, 12
IT29, Inbound trailer,246.0,NA, Supply, 16, 0, 0, 13, 0
IT30, Inbound trailer,431.0,NA, Supply, 8, 0, 14, 17, 7
IT31, Inbound trailer,848.0,NA, Supply, 11, 0, 7, 13, 11
IT32, Inbound trailer,479.0,NA, Supply, 0, 10, 19, 0, 0
IT33, Inbound trailer,335.0,NA, Supply, 0, 14, 7, 12, 5
IT34, Inbound trailer,159.0,NA, Supply, 0, 0, 0, 18, 20
IT35, Inbound trailer,185.0,NA, Supply, 6, 0, 0, 0, 0
IT36, Inbound trailer,522.0,NA, Supply, 20, 6, 0, 0, 0
IT37, Inbound trailer,699.0,NA, Supply, 0, 19, 18, 19, 6
IT38, Inbound trailer,374.0,NA, Supply, 5, 15, 0, 0, 18
IT39, Inbound trailer,487.0,NA, Supply, 0, 0, 10, 0, 7
IT40, Inbound trailer,806.0,NA, Supply, 0, 0, 0, 10, 14
OT1, Outbound trailer, NA,446.0, Demand, 0, 15, 0, 0, 14
OT2, Outbound trailer, NA,1098.0, Demand, 29, 18, 0, 0, 33
OT3, Outbound trailer, NA,765.0, Demand, 34, 21, 0, 26, 10
OT4, Outbound trailer, NA,702.0, Demand, 19, 6, 18, 16, 17
OT5, Outbound trailer, NA,773.0, Demand, 0, 19, 0, 0, 19
OT6, Outbound trailer, NA,551.0, Demand, 0, 10, 0, 21, 0
OT7, Outbound trailer, NA,547.0, Demand, 0, 0, 0, 0, 10
OT8, Outbound trailer, NA,683.0, Demand, 0, 6, 51, 21, 17
OT9, Outbound trailer, NA,805.0, Demand, 21, 18, 45, 0, 14
OT10, Outbound trailer, NA,900.0, Demand, 27, 20, 37, 18, 32
OT11, Outbound trailer, NA,1059.0, Demand, 25, 9, 29, 26, 17
OT12, Outbound trailer, NA,916.0, Demand, 17, 0, 0, 11, 33
OT13, Outbound trailer, NA,661.0, Demand, 14, 15, 0, 0, 35
OT14, Outbound trailer, NA,996.0, Demand, 17, 18, 24, 0, 0
OT15, Outbound trailer, NA,692.0, Demand, 0, 18, 0, 0, 0
OT16, Outbound trailer, NA,689.0, Demand, 23, 11, 16, 0, 0
OT17, Outbound trailer, NA,1018.0, Demand, 0, 0, 0, 18, 0
OT18, Outbound trailer, NA,1064.0, Demand, 34, 11, 0, 13, 0
OT19, Outbound trailer, NA,1154.0, Demand, 0, 16, 46, 33, 0
OT20, Outbound trailer, NA,437.0, Demand, 0, 0, 16, 21, 23
