Trailer_num, Trailer_type,Arrival_time,Deadline, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
NA, NA, min,min, Loadtime, 3.0, 3.0, 3.0, 3.0, 3.0
IT1, Inbound trailer,593.0,NA, Supply, 18, 0, 6, 0, 0
IT2, Inbound trailer,725.0,NA, Supply, 0, 11, 0, 7, 0
IT3, Inbound trailer,575.0,NA, Supply, 9, 12, 6, 0, 13
IT4, Inbound trailer,495.0,NA, Supply, 0, 0, 7, 0, 18
IT5, Inbound trailer,746.0,NA, Supply, 10, 0, 7, 0, 0
IT6, Inbound trailer,791.0,NA, Supply, 0, 0, 18, 6, 0
IT7, Inbound trailer,300.0,NA, Supply, 10, 16, 0, 9, 9
IT8, Inbound trailer,374.0,NA, Supply, 16, 0, 13, 12, 0
IT9, Inbound trailer,335.0,NA, Supply, 8, 18, 0, 0, 19
IT10, Inbound trailer,585.0,NA, Supply, 0, 12, 0, 0, 0
IT11, Inbound trailer,637.0,NA, Supply, 0, 0, 20, 11, 0
IT12, Inbound trailer,158.0,NA, Supply, 18, 13, 0, 0, 0
IT13, Inbound trailer,200.0,NA, Supply, 0, 5, 0, 0, 10
IT14, Inbound trailer,868.0,NA, Supply, 10, 0, 0, 8, 18
IT15, Inbound trailer,635.0,NA, Supply, 5, 0, 0, 0, 13
IT16, Inbound trailer,234.0,NA, Supply, 10, 0, 0, 0, 13
IT17, Inbound trailer,357.0,NA, Supply, 0, 0, 7, 15, 0
IT18, Inbound trailer,639.0,NA, Supply, 12, 0, 0, 0, 0
IT19, Inbound trailer,192.0,NA, Supply, 0, 0, 18, 0, 11
IT20, Inbound trailer,782.0,NA, Supply, 18, 12, 15, 11, 0
IT21, Inbound trailer,863.0,NA, Supply, 15, 0, 10, 0, 11
IT22, Inbound trailer,874.0,NA, Supply, 0, 19, 11, 0, 7
IT23, Inbound trailer,859.0,NA, Supply, 7, 0, 6, 0, 0
IT24, Inbound trailer,742.0,NA, Supply, 20, 10, 0, 0, 7
IT25, Inbound trailer,766.0,NA, Supply, 0, 17, 16, 13, 0
IT26, Inbound trailer,176.0,NA, Supply, 0, 18, 12, 0, 0
IT27, Inbound trailer,221.0,NA, Supply, 0, 10, 13, 0, 15
IT28, Inbound trailer,386.0,NA, Supply, 12, 0, 0, 19, 0
IT29, Inbound trailer,246.0,NA, Supply, 0, 0, 0, 0, 14
IT30, Inbound trailer,431.0,NA, Supply, 15, 0, 15, 0, 15
OT1, Outbound trailer, NA,1331.0, Demand, 15, 10, 14, 0, 14
OT2, Outbound trailer, NA,839.0, Demand, 0, 11, 33, 13, 14
OT3, Outbound trailer, NA,647.0, Demand, 30, 0, 0, 9, 0
OT4, Outbound trailer, NA,412.0, Demand, 15, 0, 25, 12, 8
OT5, Outbound trailer, NA,446.0, Demand, 20, 0, 12, 9, 13
OT6, Outbound trailer, NA,896.0, Demand, 0, 12, 35, 0, 0
OT7, Outbound trailer, NA,1132.0, Demand, 0, 17, 12, 9, 6
OT8, Outbound trailer, NA,699.0, Demand, 0, 0, 0, 13, 24
OT9, Outbound trailer, NA,849.0, Demand, 11, 0, 0, 0, 0
OT10, Outbound trailer, NA,1275.0, Demand, 37, 7, 0, 0, 0
OT11, Outbound trailer, NA,446.0, Demand, 0, 24, 33, 14, 7
OT12, Outbound trailer, NA,1098.0, Demand, 13, 19, 0, 0, 22
OT13, Outbound trailer, NA,765.0, Demand, 0, 0, 24, 0, 8
OT14, Outbound trailer, NA,702.0, Demand, 0, 0, 0, 7, 17
OT15, Outbound trailer, NA,773.0, Demand, 0, 16, 0, 0, 9
OT16, Outbound trailer, NA,551.0, Demand, 26, 26, 0, 0, 23
OT17, Outbound trailer, NA,547.0, Demand, 30, 24, 0, 18, 7
OT18, Outbound trailer, NA,683.0, Demand, 16, 7, 12, 7, 21
