Trailer_num, Trailer_type,Arrival_time,Deadline, Supply/Demand/Loadtime, P1, P2, P3, P4, P5
NA, NA, min,min, Loadtime, 3.0, 3.0, 3.0, 3.0, 3.0
IT1, Inbound trailer,593.0,NA, Supply, 15, 13, 9, 14, 9
IT2, Inbound trailer,725.0,NA, Supply, 0, 14, 15, 0, 0
IT3, Inbound trailer,575.0,NA, Supply, 0, 6, 0, 0, 0
IT4, Inbound trailer,495.0,NA, Supply, 11, 13, 14, 11, 6
IT5, Inbound trailer,746.0,NA, Supply, 0, 14, 0, 8, 0
IT6, Inbound trailer,791.0,NA, Supply, 0, 0, 8, 0, 19
IT7, Inbound trailer,300.0,NA, Supply, 6, 15, 0, 0, 7
IT8, Inbound trailer,374.0,NA, Supply, 18, 0, 6, 0, 0
IT9, Inbound trailer,335.0,NA, Supply, 0, 11, 0, 7, 0
IT10, Inbound trailer,585.0,NA, Supply, 9, 12, 6, 0, 13
IT11, Inbound trailer,637.0,NA, Supply, 0, 0, 7, 0, 18
IT12, Inbound trailer,158.0,NA, Supply, 10, 0, 7, 0, 0
IT13, Inbound trailer,200.0,NA, Supply, 0, 0, 18, 6, 0
IT14, Inbound trailer,868.0,NA, Supply, 10, 16, 0, 9, 9
IT15, Inbound trailer,635.0,NA, Supply, 16, 0, 13, 12, 0
OT1, Outbound trailer, NA,512.0, Demand, 9, 34, 0, 0, 18
OT2, Outbound trailer, NA,676.0, Demand, 0, 22, 0, 0, 0
OT3, Outbound trailer, NA,1052.0, Demand, 0, 0, 34, 16, 0
OT4, Outbound trailer, NA,457.0, Demand, 21, 24, 0, 0, 0
OT5, Outbound trailer, NA,1243.0, Demand, 0, 12, 0, 0, 9
OT6, Outbound trailer, NA,1350.0, Demand, 11, 0, 0, 11, 17
OT7, Outbound trailer, NA,1365.0, Demand, 5, 0, 0, 0, 12
OT8, Outbound trailer, NA,1346.0, Demand, 14, 0, 0, 0, 12
OT9, Outbound trailer, NA,1190.0, Demand, 0, 0, 12, 22, 0
OT10, Outbound trailer, NA,1221.0, Demand, 14, 0, 0, 0, 0
OT11, Outbound trailer, NA,434.0, Demand, 0, 0, 30, 0, 13
OT12, Outbound trailer, NA,495.0, Demand, 21, 22, 27, 18, 0
